City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,victoria falls,-17.9235,25.843,288.21,82,0,3.6,ZW,1746421588
84,tartagal,-22.5164,-63.8013,293.04,98,100,0.99,AR,1746421589
85,lensk,60.7253,114.9278,277.19,94,97,2.25,RU,1746421592
86,wynyard,-41.0,145.7167,291.59,74,74,5.36,AU,1746421593
87,blackmans bay,-43.0167,147.3167,294.67,49,76,0.89,AU,1746421594
88,vadso,70.0744,29.7487,272.24,69,75,5.14,NO,1746421596
89,dragasani,44.65,24.2667,288.64,74,29,1.23,RO,1746421597
90,liaozhong,41.5061,122.7242,285.76,67,100,7.31,CN,1746421598
91,waitangi,-43.9535,-176.5597,285.96,79,67,9.41,NZ,1746421600
92,malvan,16.0667,73.4667,303.86,61,8,5.64,IN,1746421601
93,san antonio de pale,-1.4014,5.6325,300.16,84,64,5.76,GQ,1746421602
94,tiksi,71.6872,128.8694,266.84,87,100,2.54,RU,1746421603
95,visby,57.6409,18.296,278.27,70,0,5.14,SE,1746421604
96,georgetown,5.4112,100.3354,302.12,72,20,2.06,MY,1746421596
97,naze,28.3667,129.4833,294.64,92,100,0.35,JP,1746421606
98,callao,-12.0667,-77.15,292.99,82,0,4.12,PE,1746421607
99,whitehorse,60.7161,-135.0538,278.04,42,96,4.38,CA,1746421608
100,uturoa,-16.7333,-151.4333,300.12,70,13,0.79,PF,1746421609
101,tuapse,44.1125,39.0742,287.32,83,32,1.47,RU,1746421611
102,hamilton,39.1834,-84.5333,284.84,94,100,0.0,US,1746421612
103,constantia,44.1833,28.65,286.32,83,83,6.4,RO,1746421613
104,cannonvale,-20.2833,148.7,296.81,78,16,7.7,AU,1746421614
105,basse santa su,13.31,-14.2137,302.1,57,100,2.34,GM,1746421615
106,vilyuysk,63.7553,121.6247,276.57,54,16,3.88,RU,1746421616
107,parvatsar,26.8833,74.7667,305.57,28,80,3.36,IN,1746421618
108,praia da vitoria,38.7333,-27.0667,286.7,87,97,0.73,PT,1746421619
109,mudgee,-32.5943,149.5871,294.16,50,100,1.02,AU,1746421620
110,broken hill,-31.95,141.4333,297.33,26,0,5.67,AU,1746421621
111,tazovsky,67.4667,78.7,273.39,98,100,4.75,RU,1746421622
112,crane,31.3974,-102.3501,291.78,61,13,12.76,US,1746421623
113,ta`u,-14.2336,-169.5144,300.86,78,51,6.92,AS,1746421624
114,bodaybo,57.8506,114.1933,279.4,87,93,0.68,RU,1746421626
115,revelstoke,50.9832,-118.2023,279.97,80,18,0.59,CA,1746421627
116,kodiak,57.79,-152.4072,279.88,81,100,4.63,US,1746421335
117,isafjordur,66.0755,-23.124,277.93,89,100,4.42,IS,1746421629
118,iskateley,67.6803,53.1512,273.99,100,100,2.44,RU,1746421630
119,kimbe,-5.5502,150.1429,302.2,79,91,1.7,PG,1746421631
120,maragogi,-9.0122,-35.2225,297.61,86,69,1.66,BR,1746421632
121,yarmouth,41.7057,-70.2286,288.81,93,100,2.06,US,1746421633
122,burang,30.25,81.1667,277.0,67,88,2.43,CN,1746421634
123,shuangjiang,26.1547,109.7138,292.93,95,100,1.23,CN,1746421636
124,al burayqah,30.4062,19.5739,293.54,36,24,4.93,LY,1746421637
125,hawaiian paradise park,19.5933,-154.9731,297.05,77,75,1.54,US,1746421638
126,saipan,15.1355,145.701,304.54,75,0,7.2,MP,1746421640
127,morondava,-20.2833,44.2833,297.86,64,86,5.14,MG,1746421641
128,lompoc,34.6391,-120.4579,284.09,81,100,3.58,US,1746421642
129,avarua,-21.2078,-159.775,299.18,78,75,0.51,CK,1746421643
130,port blair,11.6667,92.75,303.17,74,40,1.03,IN,1746421645
131,kendari,-3.945,122.4989,302.02,78,98,1.75,ID,1746421647
132,phalaborwa,-23.943,31.1411,287.33,79,0,1.11,ZA,1746421649
133,akcaabat,41.0212,39.5715,287.08,72,40,1.54,TR,1746421650
134,augusta,48.3667,10.8833,280.54,93,75,5.14,DE,1746421409
135,hadibu,12.65,54.0333,303.37,68,7,0.78,YE,1746421652
136,genoa,44.4129,8.9573,290.99,94,75,6.69,IT,1746421526
137,pimentel,-6.8367,-79.9342,293.31,77,0,5.66,PE,1746421655
138,kavieng,-2.5744,150.7967,302.06,75,70,3.22,PG,1746421656
139,mossel bay,-34.1831,22.146,286.11,53,51,1.0,ZA,1746421160
140,benghazi,32.1167,20.0667,293.04,36,62,5.29,LY,1746421658
141,san julian,21.0167,-102.1667,292.82,46,69,7.35,MX,1746421659
142,hailey,43.5196,-114.3153,284.07,69,100,0.89,US,1746421660
143,santa terezinha,-29.9002,-50.0904,291.61,89,0,5.98,BR,1746421661
144,harper,4.375,-7.7169,298.5,86,100,1.52,LR,1746421662
145,anatuya,-28.4606,-62.8347,293.72,87,80,2.49,AR,1746421663
146,la'ie,21.6477,-157.9253,298.81,79,71,2.68,US,1746421664
147,tolanaro,-25.0319,46.9987,293.38,79,100,3.31,MG,1746421665
148,petauke,-14.2426,31.3253,288.78,80,89,4.21,ZM,1746421667
149,pahrump,36.2083,-115.9839,291.07,54,100,4.47,US,1746421668
150,al ghayzah,16.2079,52.176,303.95,60,44,3.49,YE,1746421669
151,st. john's,47.5649,-52.7093,281.36,95,100,7.2,CA,1746421670
152,freetown,8.484,-13.2299,298.57,76,100,2.42,SL,1746421640
